region,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,84.411
south dakota,0,43855439,865751,139292,45858481,3817397,0,120000,0,0,0,192986,0,0,5643199,0,1242373,420042,1044826,0,0,0,0,1178691,0,0,693333,1107581,744840,11480066,0,3580785,0,0,1606097,0
tennessee,0,275560848,594916,481690,2395885,0,0,120000,0,3771496,3082818,1282640,1057893,2352939,21168384,0,0,202006,0,0,259000,0,0,5165364,0,0,578266,6432204,3273638,41558177,0,7397889,0,0,0,0
texas,750912,1361853064,60979922,2176935,79718344,646613,3177581,60000,2475797,3907988,0,6206438,7548979,4671736,104440061,0,247866,2006084,497659,2420398,561795,0,0,14545616,2442101,0,3077433,105248503,15226261,199765691,0,23231837,0,0,51189930,17956690
us virgin islands,0,0,0,0,239538,0,0,0,0,0,0,0,0,0,0,0,0,13472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270809,0,0,0
utah,0,83064246,1909074,967445,8431328,1347822,0,60000,0,0,0,431238,799808,0,6287988,0,0,138828,0,0,0,0,0,799847,0,0,0,5212126,1151366,15963822,0,5500851,0,0,3044477,0
vermont,0,33639511,655883,616860,403161,229263,0,120000,0,0,0,162932,0,0,5643199,0,0,18168,0,0,0,0,0,771,0,0,0,504288,744840,11480066,0,3383699,0,0,0,0
virginia,0,239464234,821347,1771086,45146660,12410,0,120000,0,0,49298,998884,746924,0,18840833,0,0,188905,957518,270448,299771,0,0,2185166,0,0,1432796,11624874,2231272,43107324,0,8434496,0,0,8918470,24995690
washington,0,210848257,15628872,1037005,38075669,4169359,1814289,60000,2524135,0,0,951225,1165519,0,16504291,0,1478715,461578,0,0,565628,0,0,2998961,3235048,0,0,17959407,2324644,39624953,0,7604340,0,0,8328669,0
west virginia,0,91791374,0,955287,18446,0,0,0,0,0,2068709,421023,0,0,7098334,0,0,52629,0,0,0,0,0,2848223,0,0,0,610453,823952,20407688,0,4138140,0,0,3358459,0
wisconsin,0,216422082,657103,671308,11991582,2634048,474818,120000,0,0,3272547,1047593,2728306,18573500,16549247,0,1109361,426050,0,0,773721,0,0,4244788,0,0,0,7842837,2097051,39701497,0,6930667,0,0,7813440,0
wyoming,0,32895366,241098,646207,6568340,917132,0,0,0,0,0,162932,417409,0,5643199,0,579269,0,0,0,0,0,0,10486,0,0,0,5e+05,744840,11480066,0,3385888,0,0,1198433,0
